text,label
ສະບາຍດີທຸກຄົນ,neutral
ອີງຕາມການຮຽກຮ້ອງຕ້ອງການອ້າຍນ້ອງນັກສຶກສາ ມລ ເຮົາເຂົ້າຮ່ວມງາມພົບປະອ້າຍນ້ອງສະມາຄົມມິດຕະພາບຫວຽດນາມ-ລາວຄົບຮອບ5negativeປີ,positive
ມລ ເຮົາໃຜສົນໃຈເຂົ້າຮ່ວມເເຈ້ງຂື່ມາເດີຕາງໜ້າpositiveຄົນ,neutral
ຂຽນເເລ້ວມາເກັບເອົາເນີເເອມ,neutral
ໃຜເປັນເພື່ອນຫລືຮູ້ຈັກລາວຊ່ວຍຕອບດ້ວຍ,neutral
ຍັງແຕ່ຄົນດຽວລາວທີ່ຍັງບໍ່ໄດ້ຕື່ມ,neutral
ສະບາຍດີອ້າຍນ້ອງນັກສຶກສາໃໝ່ທີ່ມີຊື່ລຸ່ມນີ້ທາງຄະນະນັກສຶກສາຢາກຢູ່ວ່າແຕ່ລະຄົນພັກຢູ່ຫ້ອງໃດ ອາຄານໃດ ລົບກວນຕອບໃຫ້ແດ່ເດີຂໍຂອບໃຈ,neutral
ດຽວນ້ອງຕື່ມໃຫ້ເດີ້,neutral
ໜູ່ຄູຝເພື່ອນຢູ່ຫ້ອວພັກດຽວກັນກະຊ່ວຍບອກໃຫ້ແດ່,neutral
ທ່ານສາມາດຕື່ມຂໍ້ໄດ້ຕາມລີ້ງນີ້ເລີຍ,neutral
ມອບໃຫ້ປະທານໃຫມ່ເນີ,neutral
ຢ່າລືມເວລາ neutral8:negativenegative ໂມງເປັນຕົ້ນໄປທີ່ຮ້ານອາຫານ Quán Bách khoa (ຂ້າງເດີ່ນບານ Bách khoa),neutral
ທຸກຄົນສາມາດໂອນເງິນ ຜ່ານ qr ທາງດ້ານລຸ່ມນີ້ ຫລື ໃຜບໍ່ສະດວກໂອນ ກໍສາມາດ ເອົາໃຫ້ນ້ອງ ພາຍໃນງານ ໄດ້ເລີຍເດີຂໍຂອບໃຈ,neutral
ອ້າຍເອື້ອຍນ້ອງເຮົາໃຜຍັງບໍ່ໄດ້ໂຫວດຮີບໂຫວດເດີໃກ້ຊິໝົດເວລາແລ້ວ,neutral
ກະເບິ່ງໂຕຈິງຖ້າວ່າງົບເຮົາຍັງຫຼາຍມີພໍໃຊ້ກະບໍ່ຈຳເປັນເກັບອີກ,neutral
ເກັບເງີນເພື່ອຈັດງານສາມັກຄີນີ້ບໍ່,neutral
ອ້າຍເອື້ອຍນ້ອງ ມລ ເຮົາເຫັນດີນຳບໍ່?,neutral
ສະບາຍດີທຸກຄົນ ສຳລັບໃຜທີ່ຍັງບໍ່ທັນຕື່ມຂໍ້ມູນຕົນເອງແມ່ນໃຫ້ຮີບຮ້ອນຕື່ມເດີ ທາງທູດເພິ່ນຖາມນຳແລ້ວ,neutral
ດ່ວນໆແຂກມາແລ້ວ,negative
ອ້າຍທົງບອກໄປເອົາເງິນເດືອນເດີອ້າຍໆຜູ້ຫາກໍ່ຈົບ,positive
ກິນທອມຈຶ່ງມາປະຊຸມຫວາ,negative
ຄັນມັນບໍ່ໄປ ມັນຊິຈ່າຍຄ່າເດີ່ນ,negative
ບັກຫ່າມາໃຫມ່ມັນຊິໄປເຕະນຳເດີ,positive
ຊາດ ສາດສະໜາ ມະຫາໄລສັບພະ,positive
Barca ກາກ,negative
ລາວລືມ,neutral
ບັກວາດຢາກເຂົ້າໄປແຈມນຳ,neutral
ຊື້ຢູ່ບໍບານ,neutral
ຢ່າລືມໄປເຮັດເຈ້ຍຍົກຍ້າຍຊາວໝຸ່ມເດີ,neutral
ເອົາເງີນທ້ອນມາເລີຍ35negative.negativenegativenegative,neutral
ມັນເຂົ້າມາໃນບ້ານແລ້ວ,neutral
ດຽວທາງເຮົາຈະຮີບດໍາເນີນງານ,positive
ຢູ່ແຖວໜ້າບ້ານ,neutral
ປະກາດ ຕາມຫາຄົນຫາຍ ຕອນນີ້ ທາງຄອບຄົວເພີ່ນເປັນຫ່ວງແຮງ ຖ້າໃຜພົບເຫັນ ກະລຸນາ ຕິດຕໍ່ ເບີ 9neutralneutral,neutral
ເຈນາຍເອົາມາຈາກໄຫນ,neutral
ເຮີຍ ກູວ່າບໍ່ແມ່ນລະ,neutral
ມຶງຕ້ອງໃສ່ nigga ດິວະ,negative
ທັງງາມ ທັງໂຫດ,positive
ສຸກສັນປີໃໝ່ທຸກຄົນ,positive
ຂໍໃຫ້ເປັນປີທີ່ດີທີ່ດີ,positive
ຂໍໃຫ້ມີແຕ່ຄວາມສຸກກາຍສະບາຍໃຈ,positive
ຂໍໃຫ້ມີສຸຂະພາບແຂງແຮງຂື້ນເລື້ອຍໆ,positive
ຂໍໃຫ້ມີໂຊກມີລາບ,positive
ຂໍໃຫ້ການງານດີຂື້ນໆ,positive
ຂໍໃຫ້ລ້ຳໆລວຍໆ,positive
ສະບາຍດີປີໃຫມ່ສາກົນເດີ້,positive
ຕື່ນແຕ່ເຊົ້າເລີ່ມຕົ້າປີpositivenegativepositive5 ໄປເອົາເງີນເດືອນກ່ອນເດີ,positive
ປີໃຫ່ມແຕ່ກະໂສດຄືເກົ່າເດີ,negative
ຈັດໄປນ້ອງດາດ້າສຸດງາມຈຸງເຕີມ,positive
ໂຕໂຕ້ວຽງບໍລິການລ້າງຫ້ອງຫຸ້ນສວ່ນເຊ່ຍເນັ່ງ ບໍລິການpositive4h,positive
ເຊ່ຍເນັ່ງຮັບເໝົາລ້າງຫ້ອງ ອານາໄມຄົບວົງຈອນ ໃຜກິນເບຍແລ້ວ ແຕ່ຍັງເມົາຄ້າງ ສົນໃຈໃຊ້ບໍລີການໄດ້ເດີ.,positive
ສຳລັບໃຜທີ່ຕື່ນແລ້ວລົງໄປເອົາເງິນເດືອນເດີ,positive
ຟັງບໍ່ຮູ້ເລື່ອງ,negative
ນ້ອງຂໍອະນຸຍາດກຸ່ມ ໝຶກກຸບໝ່າລ່າຖົງລະ 55.negativenegativenegativeດົ້ງ,neutral
ໃຜມີແຈ່ວ ຂາຍແນ່ບໍ່,neutral
ມີເຫຼົ້າ ກົງສະເດັນຄ້າງສາງ 6ແກ້ວນ້ອຍ ໃຜສົນໃຈ ທັກໄດ້ເດີ,neutral
ອ້າຍນ້ອງໃໍຊ້ໄຟຫຼາຍກຽມຮັບຊັບເດີ,negative
ນ້ອງເຫັນມີລົດນ້ຳມັນຮົ່ວ ຄ້າຍໆລົດເອັມ ບໍ່ແນ່ໃຈ ແມ່ນລົດໃຜລົງໄປເບິ່ງແນ່ເດີ,negative
ຂໍຖາມແດ່ ອ້າຍນ້ອງເຮົາມີໃຜຂາຍເສັ້ນເຂົ້າປຽກບໍ່,neutral
ສະບາຍດີ ເດືອນທັນວາ,neutral
ຜ້າແພຕາກະໂລຂອງອ້າຍລຳມະໂນມີໃຜເຫັນບໍ,neutral
ທີໃຜເຫັນຖົງຜ້າແພຕາກະໂລບໍ,neutral
ອຸປະກອນຂອງສະມາຊິກໃດ໋ລົງມາເອົາແດ່ເດີ,neutral
ຂໍແຮງງານອ້າຍນ້ອງຊາຍ,neutral
ເຮົາປະໄວ້ຢູ່ຈ້ອງໃຫຍ່ເນີ ຖ້າຕ້ອງການລົງມາເອົາເລີຍເດີ,positive
ມື້ອື່ນກ່ອນເດີອ້າຍຈັງວ່າກັນ,neutral
ສອງຄົ້ນນີ້ຍັງບໍ່ທັນໃດ້ຂໍໄບຍົກຍ້າຍຊາວໜຸ່ມຈາກໂຮງຮຽນ,neutral
ອ້າຍບໍ່ລອງຖາມຄະນະເກົ່າເບີ່ງ,neutral
ເພາະບາງສ່ວນກະເຈົ້າໃດ້ສົ່ງເເນ່ເເລ້ວ,neutral
ເງີນນ້ອງເກັບໃດ້ເເລ້ວເດີ,neutral
ນ້ອງຄີດວ່າມື້ນີ້ມີຮຽນເເທ້ລະບໍ່ມີນ້ອງເລີຍຊິນອນຕໍ່,positive
ອ້າຍຮູ້ຮ້ານເເປງໂທລະສັບບໍ,neutral
ລຸ້ນວີໂວອ້າຍວ່າຮອດລ້ານບໍ,neutral
ໃດ້ເລີຍບໍ,neutral
ຮຽນຢູ່ຫ້ອງກະໄດ້,neutral
ຂໍທະນາຄານງ່າຍໆບໍ່ຫຍຸ້ງຍາກ,neutral
ໄດ້ຍີນວ່າສາມາດຊື້ຢູ່ທືວຽ້ນໃດ້,neutral
ຕອນເເລງຈັດງານຢູ່ຮ້ານໄດເກາະ,neutral
ກຸ່ມເເບັກຄົວເຮົານະອ້າຍບໍ່ໄດ້ຢູ່ບໍ,neutral
ເຂົາຄືບໍ່ໄຫ້ລາຍລະອຽດເເຈ້ງໆເເນ່,negative
ຍ່າງໄປໃສຄົນດຽວ,neutral
ຫໍພັກຂອງຄົນຫວຽດບໍ,neutral
ຂອບໃຈຫລາຍໆ,positive
ເຫັນຢູ່ໃສ,neutral
ດຽວກັບຫວຽດມາແລ້ງຊິລ້ຽງເຂົ້າເດີ້,positive
ເອົາຫມວດມານຳຕີ້,neutral
ມື້ນິເມືອຍໆແນ່ມື້ອື່ນຄືຊິຕື່ນສວຍ,neutral
ກິນເຂົ້າລະ,neutral
ຮັບປະກັນສິນຄ້າຈິງ ງາມຕົງປົກ 𝟏𝟎𝟎%,positive
ເອື້ອຍໄດ້ຮັບເງິນຄັງຈາກຄະນະຊາວໜຸ່ມຊຸດເກົ່າເປັນຈໍານວນເງິນ positive.negativenegativenegative.negativenegativenegativekip ແລ້ວເດີ້,positive
ມື້ອື່ນກາມີຮຽນ,neutral
ໂອເຄຄ,neutral
ໝໍ້ມີບັນຫາໃຊ່ງານບໍ່ໄດ້,neutral
ໄດ້ມາກິນເຂົ້າບໍ,neutral
ກຳລັງຈະອອກໄປ,neutral
ຖ້າຢູ່ໜ້າຫໍເລີຍຍຍ,positive
ດ໋ຽວວອອກໄປ,neutral
ການຈັດສົ່ງໄວ ການຫຸ້ມຫໍ່ທີ່ແຂງແຮງ ຂ້ອຍຍັງບໍ່ໄດ້ກວດເບິ່ງສິນຄ້າຢ່າງລະອຽດເທື່ອ ຫວັງວ່າມັນຈະດີ,positive
ມາພ້ອມກັບກະເປົ໋າຫມີ strawberry. ເບິ່ງແລ້ວຍັງບໍ່ຮູ້ຫຼາຍ haha. ແຕ່ຖ້າທ່ານຕິດມັນກັບປາຍສາຍທີ່ສະອາດ ມັນຈະຍັງຄົງຖືກປ້ອງກັນ.,positive
ກຣະຈຸກກຣະຈິກ,negative
ກຣະດານ,negative
ແກ່,negative
ເກີນ,negative
ຂວາງໂຼກ,negative
ຂຸ່ນ,negative
ໂງ່,negative
ຈັງໄລ,negative
ເຈືອ,negative
ເຈືອຈາງ,negative
ຕ່ຳ,negative
ຊົວ,negative
ຊູ້ສາວ,negative
ຊ້ຳ,negative
ຊຳຊ້ອນ,negative
ດຸດັນ,negative
ເບື່ອ,negative
ຕາຂາວ,negative
ຊະງັດ,negative
ຊູ້ສາວ,negative
ຊໍ້າໍຊອນ,negative
ທໍາຮ້າຍ,negative
ຕາຂາວ,negative
ຕ່ຳ,negative
ຕ່ຳຕ້ອຍ,negative
ຕິດເຊື້ອ,negative
ເບື່ອ,negative
ປາກເສຍ,negative
ປາກຫມາ,negative
ປາຣາຊິກ,negative
ຜິດ,negative
ຜິດຫວັງ,negative
ພີ,negative
ຟກ,negative
ແພງ,negative
ຟາງ,negative
ແຟບ,negative
ມັວຫມອງ,negative
ຢັບ,negative
ຢືດ,negative
ຢຸ່ງເຫຢິງ,negative
ໂຢ້,negative
ຣັດກຸມ,negative
ຣິບ,negative
ຣຸນແຣງ,negative
ວ່າຢາກ,negative
ວິປໂຢຄ,negative
ວິປຣະໂຢຄ,negative
ວິເວກ,negative
ສຼັວ,negative
ສວກ,negative
ສັ້ນ,negative
ສັນຫຼັງຢາວ,negative
ສັບປຼັບ,negative
ສິ້ນສຕິ,negative
ເສີຍ,negative
ເສື່ອມໂທຣມ,negative
ເສື່ອມເສີຢ,negative
ຫງຸດຫງິດ,negative
ຫນ້າດ້ານ,negative
ຫນາວ,negative
ຫມອງມັວ,negative
ຫມິ່ນ,negative
ຫຢາບ,negative
ຫຢອກ,negative
ຫວະ,negative
ຫຶງ,negative
ຫັວສູງ,negative
ເຫງົາ,negative
ເຫີ້ຍ,negative
ໂຫດຣ້າຍ,negative
ໄຫມ້,negative
ອັກແຕກ,negative
ອ້ວກ,negative
ອ້ວນ,negative
ອ໋ອງ,negative
ອ່ອນເພຼີຢ,negative
ເອນ,negative
ຊ່າ,negative
ຕັດ,negative
ຂ່ມ,negative
ຂ່ມຂືນ,negative
ຕາຍ,negative
ຕົກ,negative
ເສີຢໃຈ,negative
ກົດດັນ,negative
ກັກ,negative
ກົດຂີ່,negative
ກັກຂັງ,negative
ກຣະຊາກ,negative
ກະແທກ,negative
ກະທືບ,negative
ກະຫຶ່ມ,negative
ກວາດຼ້າງ,negative
ຣ້ອງໄຫ້,negative
ກຼັວ,negative
ກຼັ່ນແກຼ້ງ,negative
ເศຣ້າ,negative
ຣ້ອງໄຫ້,negative
ແພງ,negative
ກຳເຣິບ,negative
ແກວ່ງ,negative
ຂັດໃຈ,negative
ກຼ່າວຫາ,negative
ກ້າວກ່າຢ,negative
ກຳຈັດ,negative
ກັງຂາ,negative
ກອບໂກຢ,negative
ກວນ,negative
ກວນຕີນ,negative
ກັດ,negative
ໂກຫົກ,negative
ແກ່ງແຢ່ງ,negative
ຂ່ມຂີ່,negative
ຂ່ມຂູ່,negative
ຂວາງ,negative
ຂັດຂືນ,negative
ຂັດຂ້ອງ,negative
ຂັດຂວາງ,negative
ຣ້ອງເຣີຢນ,negative
ຂັງ,negative
ຂາດແຄຼນ,negative
ຂາດທຸນ,negative
ຂາຢຊາຕິ,negative
ຂາຢຂີ້ຫນ້າ,negative
ຂາຢຫນ້າ,negative
ຂາຼງ,negative
ຂີ້,negative
ຂີດฆ່າ,negative
ຂີ້ໂມ້,negative
ຂືນ,negative
ຂືນໃຈ,negative
ຂູ່,negative
ຂູ່ເຂ็ຽ,negative
ຂູດຣີດ,negative
ເຂີ່ຢ,negative
ເຂວີ້ຢງ,negative
ຄັດໂກງ,negative
ຄຼື່ນໄສ້,negative
ຄຼາດເຄຼື່ອນ,negative
ຄວ່ຳ,negative
ຄະນອງ,negative
ຄັບຄັ່ງ,negative
ຄັດ,negative
ຄັດຄ້ານ,negative
ຄ້າງ,negative
ຄ້າງຄາ,negative
ຄ້າງຄາໃຈ,negative
ຄາໃຈ,negative
ຄຸກເຂ່າ,negative
ຄຸ້ມເກຣງ,negative
ຄຸມຂັງ,negative
ຄຸມຕັວ,negative
ເຄ້ນ,negative
ເຄືອງ,negative
ແຄ້ນ,negative
ົງົງ,negative
ຈັບກຸມ,negative
ຈຳກັດ,negative
ເຈັບ,negative
ເຈັບໄຂ້,negative
ເຈັບໃຈ,negative
ຊົດໃຊ້,negative
ຊ່ວງຊິງ,negative
ຊອກ,negative
ຊະງັກ,negative
ຊັກ,negative
ຊັກໃຢ,negative
ຊັງ,negative
ຊ້ຳໃຈ,negative
ຊິງ,negative
ຊິງຊັງ,negative
ຊິງດີຊິງເດ່ນ,negative
ຊິງນຣກເກິດ,negative
ຊິງສຸກກ່ອນຫ່າມ,negative
ຊິງຫມາເກິດ,negative
ດ້ອຍ,negative
ດັດສັນດານ,negative
ດັບ,negative
ດ່າ,negative
ດິ້ນ,negative
ດູຖູກ,negative
ດູຫມິ່ນ,negative
ດູຫມິ່ນຖິ່ນແຄຼນ,negative
ເດາ,negative
ເດືອດ,negative
ເດືອດດາຼ,negative
ເດືອດຣ້ອນ,negative
ແດກ,negative
ແດກດັນ,negative
ໂດນ,negative
ໄດ້ເສີຢ,negative
ຕົກ,negative
ຕົກງານ,negative
ຕົກໃຈ,negative
ຕັ້ງແງ່,negative
ຕາຍດາບຫນ້າ,negative
ຕອບໂຕ້,negative
ຕໍ່ສູ້,negative
ຕັດຂາດ,negative
ຕ້ານ,negative
ຕາຍ,negative
ຕາຍດ້ານ,negative
ຕຳຫນິ,negative
ຕິດເຊື້ອ,negative
ຕິດຂັດ,negative
ຕີ,negative
ຕີກິນ,negative
ຖອນ,negative
ຖີບ,negative
ທຣຸດ,negative
ທ່ວມ,negative
ທ້ອ,negative
ທະຼຶ່ງ,negative
ທັກທ້ວງ,negative
ທຸບ,negative
ທຸບຕີ,negative
ເທ,negative
ແທງ,negative
ແທງໃຈດຳ,negative
ນອກໃຈ,negative
ບ່ອນ,negative
ບາດ,negative
ບາດຫມາງ,negative
ບິດ,negative
ບິດເບືອນ,negative
ເບນ,negative
ເບື່ອ,negative
ເບື່ອຫນ້າ,negative
ໂບ້ຢ,negative
ປະຈານ,negative
ປະຊົດ,negative
ປະທ້ວງ,negative
ປະມາກ,negative
ປຼງໃຈ,negative
ປຼ້ນ,negative
ປຼອມ,negative
ປວດ,negative
ປະທະ,negative
ປາດ,negative
ເປຼືອງ,negative
ໂປ໊,negative
ຜຼັກ,negative
ຜັດ,negative
ຜ່າ,negative
ເຜ່ນ,negative
ຫຼບຫນີ,negative
ຄວາມຂົມຂື່ນ,negative
ຄວາມຂຸ່ນເຄືອງ,negative
ຄວາມຂ້ອງໃຈ,negative
ຄວາມຊັ່ວຊ້າ,negative
ຄວາມດື້ອ,negative
ຟຸ້ງເຟ້ອ,negative
ກຣະດານ,negative
ແກ່,negative
ເກເຣ,negative
ເກິນ,negative
ຊ້າ,negative
ເຈັບປວດ,negative
ຄວາມຼຶກຼັບ,negative
ຂັດແຢ້ງ,negative
ໄຣ້ສາຣະ,negative
ຄງຂາດ,negative
ຄົບຊູ້,negative
ກຳກວມ,negative
ມືດ,negative
ກຼຸ້ມໃຈ,negative
ນ່າກຼັວ,negative
ຂວາງໂຼກ,negative
ໄມ່ມີທາງຣັກษາ,negative
ສິ້ນຫວັງ,negative
ສຼດໃຈ,negative
ນ່າເບື່ອ,negative
ຂຸ່ນ,negative
ໂງ່,negative
ຈັງໄຣ,negative
ເຈືອຈາງ,negative
ຕ່ຳ,negative
ຊູ້ສາວ,negative
ດຸດັນ,negative
ດຸຣ້າຢ,negative
ທະຼຸ,negative
ເບື່ອ,negative
ຕາຂາວ,negative
ຊະງັດ,negative
ຊູ້ສາວ,negative
ຕາຂາວ,negative
ຕ່່ຳ,negative
ຕ່່ຳຕ້ອຍ,negative
ຕິດເຊື້ອ,negative
ບິ່ນ,negative
ບຸ໋ມ,negative
ເບື່ອ,negative
ປາກຫມາ,negative
ປາຣາຊິກ,negative
ຜິດ,negative
ຜິດຫວັງ,negative
ເຜັດຣ້ອນ,negative
ພີ,negative
ແພງ,negative
ຟາງ,negative
ແຟບ,negative
ມັວຫມອງ,negative
ໂໍລເລ,negative
ຢັບ,negative
ຢືດ,negative
ຢຸ່ງເຫຢິງ,negative
ໂຢ້,negative
ຣ້າຍ,negative
ຣິບ,negative
ຣຸນແຣງ,negative
ຢາກ,negative
ວ່າຢາກ,negative
ວິເວກ,negative
ສຼັວ,negative
ສວກ,negative
ສວະ,negative
ສັ້ນ,negative
ສັບປຼັບ,negative
ເສີຍ,negative
ເສື່ອມເສີຢ,negative
ຫງຸດຫງິດ,negative
ຫນ້າດ້ານ,negative
ຫນາວ,negative
ຫມອງມັວ,negative
ຫມິ່ນ,negative
ຫຍາບ,negative
ຫຢອກ,negative
ຫຣີ່,negative
ຫຼງ,negative
ຫວິວ,negative
ຫວະ,negative
ຫຶງ,negative
ຫົວສູງ,negative
ເຫງົາ,negative
ໄມ່ເຊື່ອ,negative
ໂຫດຣ້າຍ,negative
ທຳສົງຄາມ,negative
ທຳອັນຕາຍ,negative
ທຳເປ็ນທອງໄມ່ຣູ້ຣ້ອນ,negative
ທຳນາຍ,negative
ທຳເອົາເຈັບ,negative
ທິ້ງຂວ້າງ,negative
ທິ້ງໆ ຂວ້າງໆ,negative
ໄມ່ຣູ້ຈົບຣູ້ສິ້ນ,negative
ທຳໃຈໄມ່ໄດ້,negative
ດູໄມ່ໄດ້,negative
ດ່າ,negative
ດ່າກຼັບ,negative
ໄມ່ຣູ້ໄມ່ຊີ້,negative
ວຸ່ນວາຍໃຈ,negative
ກ່ອຄວາມວຸ່ນວາຍ,negative
ສັບສົນວຸ່ນວາຍ,negative
ສັບສົນ,negative
ໄມ່ຣູ້ສຶກຕັວ,negative
ໄມ່ເຂ້າກັນ,negative
ໄມ່ເຊື່ອ,negative
ໄມ່ເຫມາະສົມ,negative
ໄມ່ເຫ็ນຄ່າ,negative
ໄມ່ເຫ็ນດ້ວຍ,negative
ມີໂທດ,negative
ມອມເມົາ,negative
ມາກເກິນໄປ,negative
ມີຄວາມຜິດ,negative
ມີຊູ້,negative
ມີບັນຫາ,negative
ໄມ່ໄດ້ເຣື່ອງ,negative
ໄມ່ໄວ້ວາງໃຈ,negative
ໄມ່ໄວ້ຫນ້າໃຜ,negative
ໄມ່ໄວ້ໃຈ,negative
ໄມ່ໄຫວ,negative
ໄກ່,negative
ເມື່ອຍ,negative
ທຳຣ້າຍ,negative
ໄມ່ສວຍ,negative
ໄມ່ສະໄມ່ສວຍ,negative
ໂຫດເຫີ້ມ,negative
ໄຫມ້,negative
ອ້ວກ,negative
ອ້ວນ,negative
ທຳມິດີມິຣ້າຍ,negative
ທຳລາຍ,negative
ອ໋ອງ,negative
ຂ້າ,negative
ຕັດ,negative
ຂ່ມຂືນ,negative
ເສີຍໃຈ,negative
ກົດດັນ,negative
ກັກ,negative
ກົດຂີ່,negative
ກັກຂັງ,negative
ກະຊາກ,negative
ກະວົນກະວາຍ,negative
ກະແທກ,negative
ກະທືບ,negative
ກໍ່ກວນ,negative
ກະອັກ,negative
ກະຫຶ່ມ,negative
ກວາດຼ້າງ,negative
ຣ້ອງໄຫ້,negative
ກຼັ່ນແກຼ້ງ,negative
ຣ້ອນຕົວ,negative
ແພງ,negative
ເມົາ,negative
ຼ່ມາກ,negative
ກຳເຣິບ,negative
ແກວ່ງ,negative
ຂັດໃຈ,negative
